ProblemName,Seed,T_combined,T_confgraph,T_dualproof,T_noLPinf,N_combined,N_confgraph,N_dualproof,N_noLPinf,DI_combined,DI_confgraph,DI_dualproof,DI_noLPinf,Gap_combined,Gap_confgraph,Gap_dualproof,Gap_noLPinf,GapQ_combined,GapQ_confgraph,GapQ_dualproof,GapQ_noLPinf,TQ_combined,TQ_confgraph,TQ_dualproof,TQ_noLPinf,NQ_combined,NQ_confgraph,NQ_dualproof,NQ_noLPinf,DIQ_combined,DIQ_confgraph,DIQ_dualproof,DIQ_noLPinf
istanbul-no-cutoff,2,285.14,291.44,210.97,201.52,475,481,318,252,6591.160704164574,6582.127750105593,5745.879809465291,6044.836357405966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4149464073044857,1.44620881302104,1.0468936085748313,1.0,1.8849206349206349,1.9087301587301588,1.2619047619047619,1.0,1.090378682640311,1.0888843569836846,0.9505434836834911,1.0
k1mushroom,0,1897.56,1888.1,1925.59,1903.5,7,7,8,8,84365.63813533215,83722.05307682797,84139.00536059205,82846.22153805436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968794326241135,0.9919096401365904,1.0116049382716048,1.0,0.875,0.875,1.0,1.0,1.0183402039232394,1.010571774095591,1.015604620205206,1.0
k1mushroom,1,1583.93,1577.86,1552.17,1542.11,11,11,12,12,75705.45605371479,75681.53982551841,75290.23312078175,75175.60074640081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0271186880313339,1.0231825226475413,1.0065235294499097,1.0,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0070482350929446,1.006730096920999,1.0015248614343322,1.0
k1mushroom,2,1321.29,1300.61,1337.63,1311.58,3,3,3,3,73506.28329740443,72275.8294492305,74442.80653752097,72901.43305206289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.007403284588054,0.9916360420256485,1.0198615410421021,1.0,1.0,1.0,1.0,1.0,1.008296822435707,0.9914185006159535,1.0211432535812746,1.0
lectsched-5-obj,0,7200.0,7200.0,7200.0,7200.0,148725,146777,176467,470059,270186.04174583335,270189.40980208333,270189.40980208333,270186.04174583335,166.67,153.33,73.33,86.67,1.923041421483789,1.7691242644513674,0.8460828429675782,1.0,1.0,1.0,1.0,1.0,0.3163964523602356,0.31225229173359087,0.3754145756171034,1.0,1.0,1.0000124656930025,1.0000124656930025,1.0
lectsched-5-obj,1,7200.0,7200.0,7200.0,7200.0,130812,155448,123120,94376,270178.3333875,270181.4583875,270183.8195,270178.95144375,120.0,146.67,120.0,166.67,0.7199856002879943,0.8800023999520009,0.7199856002879943,1.0,1.0,1.0,1.0,1.0,1.386072730355175,1.6471136729677036,1.3045689582097144,1.0,0.999997712418948,1.000009278827002,1.0000180178960054,1.0
lectsched-5-obj,2,7200.0,7200.0,7200.0,7200.0,64923,160845,129017,135345,270185.68755625,270182.3195,270181.9445,270185.31255625,126.67,153.33,133.33,186.67,0.6785771682648525,0.8213960464991698,0.714255102587454,1.0,1.0,1.0,1.0,1.0,0.47968524880860025,1.188407403302671,0.9532454098784587,1.0,1.0000013879362888,0.999988922209643,0.9999875342733542,1.0
leo1,0,7200.0,7200.0,7200.0,7200.0,80819,84658,65473,91033,24871.092481331616,24870.850461361646,22839.20105345259,16924.739443015234,6.11,5.72,7.38,4.94,1.236842105263158,1.157894736842105,1.4939271255060727,1.0,1.0,1.0,1.0,1.0,0.8877989300583305,0.9299704502762735,0.7192226994606351,1.0,1.4695111003080055,1.469496800532769,1.3494565827941434,1.0
leo1,1,7200.0,7200.0,7200.0,7200.0,34905,56994,54706,63501,26343.582167507375,25523.14880799292,19452.10762144576,19543.751261440975,7.14,6.06,6.74,5.18,1.3783783783783783,1.1698841698841698,1.3011583011583012,1.0,1.0,1.0,1.0,1.0,0.5496763830490858,0.8975291727689327,0.8614982441221398,1.0,1.3479286455861823,1.3059493270541696,0.9953108469930221,1.0
leo1,2,7200.0,7200.0,7200.0,7200.0,45969,78110,72699,124951,24043.08852400714,24043.248780284124,20688.75637785838,18288.147255940316,7.53,6.66,6.71,3.77,1.9973474801061009,1.76657824933687,1.779840848806366,1.0,1.0,1.0,1.0,1.0,0.36789621531640404,0.6251250490192155,0.5818200734687997,1.0,1.3146814812636374,1.3146902441128612,1.1312658460325062,1.0
