ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-vbound,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-vbound,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-vbound,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-vbound,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-vbound,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-vbound,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-vbound,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-vbound
neos-4738912-atrato,2,914.39,881.55,95736,90544,197.1885587783188,215.85431798476944,0.0,0.0,0.0,0.0,1.0372525665021837,1.0,1.0573422866230784,1.0,0.9135261254872479,1.0
neos-5107597-kakapo,0,2144.47,2198.25,560533,613736,79157.67134285816,82706.10844010617,0.0,0.0,0.0,0.0,0.9755350847264869,1.0,0.913312890232934,1.0,0.9570958280570327,1.0
neos-5107597-kakapo,1,1725.41,2305.69,472393,750515,65791.30729040563,70908.30993456459,0.0,0.0,0.0,0.0,0.7483269650299911,1.0,0.6294251280787193,1.0,0.9278363474058116,1.0
neos-5107597-kakapo,2,5927.88,6433.7,1725439,2382549,141198.77281605886,165790.28343128518,0.0,0.0,0.0,0.0,0.9213796104885215,1.0,0.7241987468043679,1.0,0.8516709778989024,1.0
neos-5188808-nattai,0,1251.29,1274.06,12145,12152,112030.52226645657,114656.25117972412,0.0,0.0,0.0,0.0,0.9821280002511655,1.0,0.9994239631336406,1.0,0.9770991211883274,1.0
neos-5188808-nattai,1,1292.07,1276.88,13554,13260,116539.2023575522,113596.57813113375,0.0,0.0,0.0,0.0,1.0118961844495957,1.0,1.0221719457013574,1.0,1.0259041625621992,1.0
neos-5188808-nattai,2,1380.62,1338.51,12548,12446,121752.52831080821,116401.71281045962,0.0,0.0,0.0,0.0,1.0314603551710484,1.0,1.0081954041459102,1.0,1.0459685289086895,1.0
neos-5195221-niemur,0,2813.87,2934.65,47466,62937,222849.10062353854,211361.6342101801,0.0,0.0,0.0,0.0,0.9588434736680693,1.0,0.7541827541827542,1.0,1.0543498182926385,1.0
neos-5195221-niemur,1,2911.85,3296.69,25010,29661,181657.16086002917,218238.68779323614,0.0,0.0,0.0,0.0,0.8832647291677409,1.0,0.8431947675398672,1.0,0.8323783592033642,1.0
neos-5195221-niemur,2,2890.78,2900.15,33779,34651,205783.3340984274,208174.4050652852,0.0,0.0,0.0,0.0,0.9967691326310708,1.0,0.9748347811029985,1.0,0.9885140972728712,1.0
net12,0,1842.42,2011.11,1211,1524,98181.66575864486,107002.57736331775,0.0,0.0,0.0,0.0,0.9161209481331206,1.0,0.7946194225721784,1.0,0.9175635594764949,1.0
net12,1,1631.28,1787.13,1816,1927,87246.80937850467,95487.77711331776,0.0,0.0,0.0,0.0,0.9127931376005103,1.0,0.9423975090814738,1.0,0.9136960982447698,1.0
net12,2,1561.43,2262.14,1695,2710,86543.980717243,125333.05146948596,0.0,0.0,0.0,0.0,0.6902446356105282,1.0,0.6254612546125461,1.0,0.6905120373480519,1.0
