ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-vbound,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-vbound,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-vbound,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-vbound,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-vbound,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-vbound,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-vbound,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-vbound
cost266-UUE,0,4923.15,5308.1,375684,429467,18442.076416295735,20056.46494333276,0.0,0.0,0.0,0.0,0.9274787588779412,1.0,0.8747680264141366,1.0,0.9195078229589164,1.0
cost266-UUE,1,3728.83,4336.47,294630,321297,13227.091766782543,15741.913612535871,0.0,0.0,0.0,0.0,0.8598768122459051,1.0,0.9170020261627093,1.0,0.8402467509572228,1.0
cost266-UUE,2,4067.72,4817.89,306702,393239,15450.64854860508,18867.967426292227,0.0,0.0,0.0,0.0,0.8442949091822353,1.0,0.7799379003608492,1.0,0.8188825112701241,1.0
cryptanalysiskb128n5obj14,0,7200.0,7200.0,110,110,720000.0,720000.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cryptanalysiskb128n5obj14,1,7200.0,7200.0,59,60,720000.0,720000.0,1e+20,1e+20,1.0,1.0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0
cryptanalysiskb128n5obj14,2,7200.0,7200.0,90,90,720000.0,720000.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cryptanalysiskb128n5obj16,0,7200.0,7200.0,104,102,7200.0,7300.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0196078431372548,1.0,0.9863013698630136,1.0
cryptanalysiskb128n5obj16,1,2790.65,2793.6,37,37,7350.0,7300.0,0.0,0.0,0.0,0.0,0.9989440148911799,1.0,1.0,1.0,1.0068493150684932,1.0
cryptanalysiskb128n5obj16,2,7200.0,7200.0,97,97,7300.0,7300.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
csched007,0,2327.77,2365.33,187288,188163,16205.184854415957,16579.41406638177,0.0,0.0,0.0,0.0,0.9841206089636542,1.0,0.9953497765235461,1.0,0.9774280797579787,1.0
csched007,1,2613.95,2836.56,220934,253975,16818.595935897436,19551.05651481481,0.0,0.0,0.0,0.0,0.9215211382801703,1.0,0.8699045181612364,1.0,0.8602397483303855,1.0
csched007,2,3393.08,2928.44,247755,236575,21171.48683076923,18704.05229401709,0.0,0.0,0.0,0.0,1.1586646815369275,1.0,1.0472577406742047,1.0,1.1319197839038018,1.0
csched008,0,7200.0,5642.08,455870,538941,8192.290320809263,4772.41699710982,2.81,0.0,inf,0.0,1.2761251169781358,1.0,0.8458625341178347,1.0,1.7165914725746978,1.0
csched008,1,7200.0,4488.44,694455,354389,6763.466872832382,4071.9508208092466,2.33,0.0,inf,0.0,1.6041208081204161,1.0,1.9595839599987583,1.0,1.6609893317641375,1.0
csched008,2,5772.95,3959.91,546382,446069,3644.5367774566475,2841.0157687861247,0.0,0.0,0.0,0.0,1.4578487894926906,1.0,1.2248822491587625,1.0,1.2828287746582419,1.0
cvs16r128-89,0,7200.0,7200.0,67980,67974,136211.38403090596,136210.76977875436,23.28,23.28,1.0,1.0,1.0,1.0,1.0000882690440462,1.0,1.0000045095711052,1.0
cvs16r128-89,1,7200.0,7200.0,34973,34962,137236.28053173164,137256.0417113105,22.61,22.61,1.0,1.0,1.0,1.0,1.0003146273096504,1.0,0.9998560268871776,1.0
cvs16r128-89,2,7200.0,7200.0,47219,47519,134079.04376807137,134004.75596504612,23.01,23.0,1.0004347826086957,1.0,1.0,1.0,0.993686735831983,1.0,1.000554366913997,1.0
dano3_3,0,143.7,143.27,10,10,1862.9259719075267,1865.4169890827234,0.0,0.0,0.0,0.0,1.003001326167376,1.0,1.0,1.0,0.9986646325246444,1.0
dano3_3,1,142.65,139.35,14,14,1263.5882429307567,1261.0381005061226,0.0,0.0,0.0,0.0,1.023681377825619,1.0,1.0,1.0,1.0020222564438066,1.0
dano3_3,2,124.56,124.76,17,17,1592.932607518342,1595.4338334827814,0.0,0.0,0.0,0.0,0.9983969220904135,1.0,1.0,1.0,0.998432259670099,1.0
dano3_5,0,635.04,641.8,276,276,1347.909644561208,1343.4404688642476,0.0,0.0,0.0,0.0,0.9894671237145528,1.0,1.0,1.0,1.0033266644861003,1.0
dano3_5,1,285.81,285.77,159,159,1780.2608740715739,1782.7555765820168,0.0,0.0,0.0,0.0,1.0001399727053226,1.0,1.0,1.0,0.9986006480399148,1.0
dano3_5,2,285.94,286.86,140,140,1567.9150744635906,1575.4681186249416,0.0,0.0,0.0,0.0,0.9967928606288782,1.0,1.0,1.0,0.995205841316584,1.0
decomp2,0,2.39,2.43,1,1,120.0,120.0,0.0,0.0,0.0,0.0,0.9835390946502057,1.0,1.0,1.0,1.0,1.0
decomp2,1,2.42,2.44,1,1,114.99999999999999,114.99999999999999,0.0,0.0,0.0,0.0,0.9918032786885246,1.0,1.0,1.0,1.0,1.0
decomp2,2,2.5,2.44,1,1,125.0,120.0,0.0,0.0,0.0,0.0,1.0245901639344261,1.0,1.0,1.0,1.0416666666666667,1.0
drayage-100-23,0,16.43,16.41,32,32,303.7752256149986,303.93296041674404,0.0,0.0,0.0,0.0,1.0012187690432663,1.0,1.0,1.0,0.9994810210727748,1.0
drayage-100-23,1,19.52,19.6,48,48,298.54528306702053,298.9420299511278,0.0,0.0,0.0,0.0,0.9959183673469387,1.0,1.0,1.0,0.9986728300327253,1.0
drayage-100-23,2,13.5,13.49,16,16,276.58665329760555,276.55630700479287,0.0,0.0,0.0,0.0,1.000741289844329,1.0,1.0,1.0,1.0001097291656131,1.0
drayage-25-23,0,7200.0,7200.0,720814,722284,1530.66314982333,1527.7546303909178,0.07,0.07,1.0,1.0,1.0,1.0,0.9979647894733927,1.0,1.001903787018252,1.0
drayage-25-23,1,7200.0,7200.0,790871,794527,940.2790696522105,945.1617609577814,0.07,0.07,1.0,1.0,1.0,1.0,0.9953985201258106,1.0,0.9948340151842124,1.0
drayage-25-23,2,6941.84,6923.71,552534,552534,1277.0347172139345,1281.9207981067261,0.0,0.0,0.0,0.0,1.0026185383269952,1.0,1.0,1.0,0.9961884689756123,1.0
dws008-01,0,7200.0,7200.0,144766,147234,275072.23956510815,275544.17978484,44.84,52.26,0.8580176042862611,1.0,1.0,1.0,0.9832375674097016,1.0,0.9982872430109018,1.0
dws008-01,1,7200.0,7200.0,157395,153128,262978.3312515146,274323.4622197857,44.28,50.24,0.8813694267515924,1.0,1.0,1.0,1.0278655765111542,1.0,0.958643234973531,1.0
dws008-01,2,7200.0,7200.0,153108,159713,281202.08588068804,269475.86431495636,52.63,45.74,1.15063401836467,1.0,1.0,1.0,0.9586445686950968,1.0,1.0435149232957888,1.0
eil33-2,0,81.2,79.52,343,343,933.6795582576123,914.9946518568831,0.0,0.0,0.0,0.0,1.0211267605633805,1.0,1.0,1.0,1.020420782091797,1.0
eil33-2,1,101.92,102.5,395,395,1109.1921272024756,1114.9399535710047,0.0,0.0,0.0,0.0,0.9943414634146341,1.0,1.0,1.0,0.9948447211438431,1.0
eil33-2,2,105.72,105.71,541,541,962.4049616213214,961.9695791057839,0.0,0.0,0.0,0.0,1.000094598429666,1.0,1.0,1.0,1.000452594889687,1.0
