ProblemName,Seed,T_combined,T_combined-no-flowcover-no-mir,N_combined,N_combined-no-flowcover-no-mir,DI_combined,DI_combined-no-flowcover-no-mir,Gap_combined,Gap_combined-no-flowcover-no-mir,GapQ_combined,GapQ_combined-no-flowcover-no-mir,TQ_combined,TQ_combined-no-flowcover-no-mir,NQ_combined,NQ_combined-no-flowcover-no-mir,DIQ_combined,DIQ_combined-no-flowcover-no-mir
cbs-cta,0,40.27,40.13,1,1,15.0,15.0,0.0,0.0,0.0,0.0,1.0034886618489909,1.0,1.0,1.0,1.0,1.0
cbs-cta,1,314.1,314.48,31,31,15.0,15.0,0.0,0.0,0.0,0.0,0.9987916560671585,1.0,1.0,1.0,1.0,1.0
cbs-cta,2,35.77,35.73,1,1,15.0,15.0,0.0,0.0,0.0,0.0,1.0011195074167367,1.0,1.0,1.0,1.0,1.0
chromaticindex1024-7,0,7200.0,7200.0,964,968,187931.0,187993.5,33.33,33.33,1.0,1.0,1.0,1.0,0.9958677685950413,1.0,0.9996675416969204,1.0
chromaticindex1024-7,1,7200.0,7200.0,1171,1155,190411.75,189688.25,33.33,33.33,1.0,1.0,1.0,1.0,1.0138528138528138,1.0,1.003814152958868,1.0
chromaticindex1024-7,2,6429.72,6425.84,757,757,170155.5,170021.0,0.0,0.0,0.0,0.0,1.0006038121086116,1.0,1.0,1.0,1.0007910787490957,1.0
chromaticindex512-7,0,1172.37,1185.02,361,361,31401.75,31759.249999999996,0.0,0.0,0.0,0.0,0.9893250746822838,1.0,1.0,1.0,0.9887434369514394,1.0
chromaticindex512-7,1,3689.97,3707.63,3133,3133,94038.0,94502.0,0.0,0.0,0.0,0.0,0.995236849415934,1.0,1.0,1.0,0.9950900510042116,1.0
chromaticindex512-7,2,7200.0,7200.0,40579,40832,183742.5,183743.0,33.33,33.33,1.0,1.0,1.0,1.0,0.9938038793103449,1.0,0.9999972788079001,1.0
cmflsp50-24-8-8,0,7200.0,7200.0,36090,35760,11790.122833283533,11803.304613396502,3.98,3.98,1.0,1.0,1.0,1.0,1.0092281879194631,1.0,0.9988832127489103,1.0
