ProblemName,Seed,T_combined,T_combined-no-flowcover-no-mir,N_combined,N_combined-no-flowcover-no-mir,DI_combined,DI_combined-no-flowcover-no-mir,Gap_combined,Gap_combined-no-flowcover-no-mir,GapQ_combined,GapQ_combined-no-flowcover-no-mir,TQ_combined,TQ_combined-no-flowcover-no-mir,NQ_combined,NQ_combined-no-flowcover-no-mir,DIQ_combined,DIQ_combined-no-flowcover-no-mir
neos-5188808-nattai,1,1292.07,1300.65,13554,13483,116539.2023575522,117239.90846179402,0.0,0.0,0.0,0.0,0.9934032983508244,1.0,1.0052658903804792,1.0,0.9940233141305278,1.0
neos-5188808-nattai,2,1380.62,1336.3,12548,12479,121752.52831080821,116373.85916937097,0.0,0.0,0.0,0.0,1.0331662051934445,1.0,1.0055292892058658,1.0,1.0462188775024561,1.0
neos-5195221-niemur,0,2813.87,3115.64,47466,62799,222849.10062353854,228972.716693392,0.0,0.0,0.0,0.0,0.9031434953974143,1.0,0.7558400611474705,1.0,0.9732561321790433,1.0
neos-5195221-niemur,2,2890.78,2854.8,33779,45135,205783.3340984274,202969.62282872605,0.0,0.0,0.0,0.0,1.0126033347344823,1.0,0.7483992467043314,1.0,1.0138627210835174,1.0
neos-933966,0,1374.28,7200.0,138,1275,635.0,630.0,0.0,0.31,0.0,1.0,0.19087222222222222,1.0,0.10823529411764705,1.0,1.007936507936508,1.0
neos-933966,1,848.27,1567.83,38,476,660.0,655.0,0.0,0.0,0.0,0.0,0.5410471798600613,1.0,0.07983193277310924,1.0,1.0076335877862594,1.0
neos-933966,2,2180.73,1294.09,283,86,675.0,675.0,0.0,0.0,0.0,0.0,1.6851455462912164,1.0,3.2906976744186047,1.0,1.0,1.0
net12,0,1842.42,1900.74,1211,1237,98181.66575864486,101233.46919369159,0.0,0.0,0.0,0.0,0.9693172132958743,1.0,0.978981406628941,1.0,0.96985380962093,1.0
net12,1,1631.28,1748.89,1816,1895,87246.80937850467,93467.86730046729,0.0,0.0,0.0,0.0,0.9327516310345418,1.0,0.9583113456464379,1.0,0.9334417473979154,1.0
pg,0,101.85,106.2,2687,2983,414.55623662628653,412.1401712431379,0.0,0.0,0.0,0.0,0.9590395480225988,1.0,0.9007710358699296,1.0,1.0058622419063423,1.0
pg,1,86.23,86.34,1372,1354,403.30126808727306,406.5686665996971,0.0,0.0,0.0,0.0,0.9987259671067872,1.0,1.0132939438700148,1.0,0.9919634768223763,1.0
pg,2,107.44,105.03,2311,2596,386.20445054539334,376.4081186438323,0.0,0.0,0.0,0.0,1.0229458250023802,1.0,0.8902157164869029,1.0,1.0260258252049834,1.0
pg5_34,0,1173.22,1147.46,148717,145007,335.5787683169813,314.8213224269734,0.0,0.0,0.0,0.0,1.0224495842992347,1.0,1.025584971759984,1.0,1.0659340534179444,1.0
pg5_34,1,1134.07,1093.92,144543,134018,385.6941524919923,382.71173716619546,0.0,0.0,0.0,0.0,1.0367028667544242,1.0,1.078534226745661,1.0,1.0077928504306668,1.0
