ProblemName,Seed,T_combined,T_combined-no-presol,N_combined,N_combined-no-presol,DI_combined,DI_combined-no-presol,Gap_combined,Gap_combined-no-presol,GapQ_combined,GapQ_combined-no-presol,TQ_combined,TQ_combined-no-presol,NQ_combined,NQ_combined-no-presol,DIQ_combined,DIQ_combined-no-presol
fastxgemm-n2r6s0t2,0,4702.82,5162.95,1118937,1150066,326247.55928434775,439630.30872130435,0.0,0.0,0.0,0.0,0.9108784706417842,1.0,0.9729328577664238,1.0,0.7420952395963365,1.0
fastxgemm-n2r6s0t2,1,4017.11,2833.9,1012967,645520,236190.0877195652,219987.52393478263,0.0,0.0,0.0,0.0,1.4175200254066833,1.0,1.5692263601437602,1.0,1.0736521939743546,1.0
fastxgemm-n2r6s0t2,2,3129.08,3036.78,769500,707214,211406.1993217391,195616.6204982609,0.0,0.0,0.0,0.0,1.030394035787907,1.0,1.0880723515088786,1.0,1.0807169594447554,1.0
fiball,0,465.55,304.58,4111,1648,249.44762318840577,244.59505797101448,0.0,0.0,0.0,0.0,1.5284982598988772,1.0,2.4945388349514563,1.0,1.0198391793262083,1.0
gen-ip002,0,1315.68,1414.34,5856334,6061285,508.2774467047354,535.4315821205348,0.0,0.0,0.0,0.0,0.930243081578687,1.0,0.9661868729155616,1.0,0.9492855178466357,1.0
gen-ip002,1,1295.56,1221.44,5478569,5452911,494.6164580802605,472.8794378940744,0.0,0.0,0.0,0.0,1.06068247314645,1.0,1.0047053766327747,1.0,1.0459673617507879,1.0
gen-ip002,2,1271.92,1304.59,5583912,5570821,491.4221079150391,500.52124098563667,0.0,0.0,0.0,0.0,0.9749576495297374,1.0,1.0023499229287747,1.0,0.9818206854664562,1.0
gen-ip054,0,3047.64,2730.92,15245360,13143497,1519.5676472901296,1403.764134561833,0.0,0.0,0.0,0.0,1.115975568672828,1.0,1.1599165731920509,1.0,1.082494993195166,1.0
gen-ip054,1,2530.93,2603.15,12476019,12871730,1305.3634888918657,1331.770980095126,0.0,0.0,0.0,0.0,0.97225668901139,1.0,0.9692573570141698,1.0,0.9801711468428497,1.0
gen-ip054,2,3381.24,2870.87,16438070,13888222,1711.353184130085,1485.174128561645,0.0,0.0,0.0,0.0,1.1777753781954599,1.0,1.1835978716354045,1.0,1.1522912709148045,1.0
glass4,0,4008.75,2436.14,2705421,1835892,115238.12619050834,66968.97993646067,0.0,0.0,0.0,0.0,1.645533507926474,1.0,1.47362753364577,1.0,1.7207687245623993,1.0
glass4,1,2392.84,2618.43,1888717,2339718,65192.70388069259,69067.82106004553,0.0,0.0,0.0,0.0,0.9138453195235314,1.0,0.8072413000199169,1.0,0.9438940287983889,1.0
glass4,2,2212.84,1222.62,1599046,894340,59809.337062710845,37500.81699700487,0.0,0.0,0.0,0.0,1.8099164090232454,1.0,1.7879620725898429,1.0,1.5948809079942905,1.0
graphdraw-domain,0,1010.47,1453.56,1823083,2758168,16022.469596159708,20890.428827593212,0.0,0.0,0.0,0.0,0.6951691020666502,1.0,0.6609760536704073,1.0,0.7669765770914363,1.0
graphdraw-domain,1,1122.85,1242.65,1941578,2337427,17974.215538961696,18979.42273443056,0.0,0.0,0.0,0.0,0.9035931275902305,1.0,0.8306475453564967,1.0,0.9470369984622706,1.0
graphdraw-domain,2,1664.67,1415.21,2907888,2646593,23908.33903586305,21419.075112262522,0.0,0.0,0.0,0.0,1.1762706594780987,1.0,1.0987288185225306,1.0,1.116217152727356,1.0
h80x6320d,1,86.17,87.73,10,5,215.91991323207472,216.23572555512695,0.0,0.0,0.0,0.0,0.9822181693833352,1.0,2.0,1.0,0.998539499787829,1.0
istanbul-no-cutoff,1,166.34,167.44,245,290,4386.7845191557135,4387.204699496012,0.0,0.0,0.0,0.0,0.9934304825609174,1.0,0.8448275862068966,1.0,0.9999042259550035,1.0
