ProblemName,Seed,T_combined,T_combined-no-presol,N_combined,N_combined-no-presol,DI_combined,DI_combined-no-presol,Gap_combined,Gap_combined-no-presol,GapQ_combined,GapQ_combined-no-presol,TQ_combined,TQ_combined-no-presol,NQ_combined,NQ_combined-no-presol,DIQ_combined,DIQ_combined-no-presol
binkar10_1,1,29.22,30.21,2246,2325,11.699173704422169,16.986594143223254,0.0,0.0,0.0,0.0,0.9672293942403177,1.0,0.9660215053763441,1.0,0.6887298069159741,1.0
binkar10_1,2,28.71,30.24,2509,2252,16.276617190935752,16.73891410134445,0.0,0.0,0.0,0.0,0.949404761904762,1.0,1.1141207815275311,1.0,0.9723819055639,1.0
blp-ar98,0,7200.0,7200.0,238231,237422,5967.561744100082,5887.9705779519945,0.27,0.27,1.0,1.0,1.0,1.0,1.0034074348628181,1.0,1.0135175889713381,1.0
blp-ar98,1,7200.0,7200.0,207500,207841,6377.591394602854,6314.914220137294,0.33,0.33,1.0,1.0,1.0,1.0,0.9983593227515264,1.0,1.0099252614177547,1.0
blp-ar98,2,7200.0,7200.0,229423,227772,6415.845105888979,6364.401727600168,0.32,0.32,1.0,1.0,1.0,1.0,1.0072484765467222,1.0,1.0080829872925399,1.0
blp-ic98,0,7200.0,7200.0,304769,307415,7237.063331242014,7221.950752023991,1.38,1.38,1.0,1.0,1.0,1.0,0.9913927427093668,1.0,1.0020925896252875,1.0
blp-ic98,1,7200.0,7200.0,254061,254481,7539.775927701681,7539.063379830148,2.41,2.41,1.0,1.0,1.0,1.0,0.998349582090608,1.0,1.00009451411079,1.0
blp-ic98,2,7200.0,7200.0,278188,280930,7134.770132576666,7121.137147029019,2.11,2.11,1.0,1.0,1.0,1.0,0.9902395614565906,1.0,1.0019144394028887,1.0
bnatt400,0,970.91,994.7,6821,6819,97091.0,99470.0,0.0,0.0,0.0,0.0,0.9760832411782446,1.0,1.0002932981375567,1.0,0.9760832411782447,1.0
bnatt400,1,1105.02,997.61,6346,5276,110502.0,99761.0,0.0,0.0,0.0,0.0,1.1076673249065265,1.0,1.2028051554207733,1.0,1.1076673249065265,1.0
bnatt400,2,745.15,801.58,5500,6151,74515.0,80158.0,0.0,0.0,0.0,0.0,0.9296015369644951,1.0,0.894163550642172,1.0,0.9296015369644951,1.0
bnatt500,0,4368.17,4570.33,29526,29432,436817.0,457033.0,0.0,0.0,0.0,0.0,0.9557668702260013,1.0,1.0031938026637672,1.0,0.9557668702260012,1.0
bnatt500,1,6333.06,5889.02,38962,39462,633306.0,588902.0,0.0,0.0,0.0,0.0,1.0754013401211067,1.0,0.9873295828898687,1.0,1.0754013401211067,1.0
bnatt500,2,4996.9,5142.35,29029,29957,499689.99999999994,514235.00000000006,0.0,0.0,0.0,0.0,0.9717152663665444,1.0,0.9690222652468539,1.0,0.9717152663665443,1.0
bppc4-08,0,7200.0,7200.0,797503,795380,13614.33962264151,13614.33962264151,1.92,1.92,1.0,1.0,1.0,1.0,1.0026691644245518,1.0,1.0,1.0
bppc4-08,1,7200.0,7200.0,938927,939386,13609.433962264151,13609.433962264151,1.92,1.92,1.0,1.0,1.0,1.0,0.9995113829671721,1.0,1.0,1.0
bppc4-08,2,7200.0,7200.0,793397,795840,13609.452830188678,13609.433962264151,1.92,1.92,1.0,1.0,1.0,1.0,0.9969302874949738,1.0,1.0000013863856925,1.0
brazil3,0,3360.46,3364.24,2570,2570,19964.97339208332,19986.816908749985,0.0,0.0,0.0,0.0,0.9988764178536609,1.0,1.0,1.0,0.9989071037791365,1.0
brazil3,1,4252.19,4233.16,2347,2347,100252.26529645834,99803.08158937498,0.0,0.0,0.0,0.0,1.0044954596566158,1.0,1.0,1.0,1.004500699777302,1.0
brazil3,2,3785.08,3788.81,3302,3302,4574.0625,4573.697916666666,0.0,0.0,0.0,0.0,0.9990155220240656,1.0,1.0,1.0,1.000079713033081,1.0
buildingenergy,0,7200.0,7200.0,96,96,18993.32567985296,18993.538280489003,0.13,0.13,1.0,1.0,1.0,1.0,1.0,1.0,0.9999888066861,1.0
buildingenergy,1,7200.0,7200.0,85,85,18244.78742705254,18245.882938400388,0.15,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.9999399584360184,1.0
buildingenergy,2,7200.0,7200.0,12,13,19044.35943501013,19043.458286670142,0.13,0.13,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,1.0000473206245641,1.0
