ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-nnzcancel,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-nnzcancel,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-nnzcancel,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-nnzcancel,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-nnzcancel,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-nnzcancel,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-nnzcancel,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-nnzcancel
pg,1,86.23,88.16,1372,1065,403.30126808727306,467.49893821589694,0.0,0.0,0.0,0.0,0.9781079854809438,1.0,1.288262910798122,1.0,0.8626784685894269,1.0
pg,2,107.44,74.36,2311,1291,386.20445054539334,361.8082258637724,0.0,0.0,0.0,0.0,1.444862829478214,1.0,1.7900852052672347,1.0,1.0674286070289805,1.0
pg5_34,0,1173.22,1260.38,148717,149366,335.5787683169813,337.37018649859374,0.0,0.0,0.0,0.0,0.9308462527174344,1.0,0.9956549683328201,1.0,0.9946900518975766,1.0
pg5_34,1,1134.07,1334.91,144543,170764,385.6941524919923,359.80176248202577,0.0,0.0,0.0,0.0,0.8495479095969015,1.0,0.8464489002365838,1.0,1.0719629326753508,1.0
pg5_34,2,1085.15,1266.61,121673,151919,315.6171297911395,325.06190964976776,0.0,0.0,0.0,0.0,0.8567356960706138,1.0,0.8009070623161026,1.0,0.9709446736813786,1.0
physiciansched3-3,0,7200.0,7200.0,415,417,14129.17679290636,14078.19202578993,1e+20,1e+20,1.0,1.0,1.0,1.0,0.9952038369304557,1.0,1.0036215422422874,1.0
physiciansched3-3,1,7200.0,7200.0,313,313,14314.223777968618,14313.824704238543,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0000278803002218,1.0
physiciansched3-3,2,7200.0,7200.0,361,363,11595.474299979398,11493.119866692028,1e+20,1e+20,1.0,1.0,1.0,1.0,0.9944903581267218,1.0,1.008905713546415,1.0
physiciansched6-2,0,124.81,124.74,377,377,519.6282270294378,519.9239149298514,0.0,0.0,0.0,0.0,1.000561167227834,1.0,1.0,1.0,0.999431286209534,1.0
physiciansched6-2,1,462.02,465.63,2804,2804,483.68699111994164,490.40705336144686,0.0,0.0,0.0,0.0,0.9922470631187853,1.0,1.0,1.0,0.9862969706584699,1.0
physiciansched6-2,2,44.74,44.54,1,1,453.86215229908373,448.3533290081908,0.0,0.0,0.0,0.0,1.0044903457566232,1.0,1.0,1.0,1.0122867902042325,1.0
piperout-08,0,797.03,791.24,130,130,1227.7038103234577,1227.7128063651992,0.0,0.0,0.0,0.0,1.0073176280268945,1.0,1.0,1.0,0.999992672519424,1.0
piperout-08,1,606.54,617.51,552,552,1437.5890048378715,1452.5946903362521,0.0,0.0,0.0,0.0,0.9822351055043642,1.0,1.0,1.0,0.9896697367832819,1.0
piperout-08,2,923.85,914.01,596,596,1457.6838990844028,1442.6660189516613,0.0,0.0,0.0,0.0,1.0107657465454427,1.0,1.0,1.0,1.0104098106806831,1.0
piperout-27,0,140.11,140.4,2,2,3946.4854702117186,3941.712243353028,0.0,0.0,0.0,0.0,0.997934472934473,1.0,1.0,1.0,1.001210952642913,1.0
piperout-27,1,275.91,276.77,566,566,2287.063627523388,2297.2870119399313,0.0,0.0,0.0,0.0,0.9968927268128773,1.0,1.0,1.0,0.9955498009768007,1.0
piperout-27,2,332.32,331.44,72,72,2233.87976304776,2238.9575270802566,0.0,0.0,0.0,0.0,1.0026550808592807,1.0,1.0,1.0,0.9977320855929241,1.0
pk1,0,107.55,111.14,301100,304863,5563.693037727272,5835.924444090909,0.0,0.0,0.0,0.0,0.9676983984164117,1.0,0.9876567507372164,1.0,0.9533524792907007,1.0
pk1,1,109.16,109.43,317026,324617,5634.385423181818,5595.122811636364,0.0,0.0,0.0,0.0,0.9975326692863017,1.0,0.9766155192118712,1.0,1.0070172921787879,1.0
pk1,2,112.34,115.59,328715,331290,5927.717167363637,6112.340421818181,0.0,0.0,0.0,0.0,0.9718833809153041,1.0,0.9922273536780464,1.0,0.9697949980345456,1.0
proteindesign121hz512p9,0,7200.0,7200.0,591,579,50233.660522742706,50492.479520706045,9.6,9.6,1.0,1.0,1.0,1.0,1.0207253886010363,1.0,0.9948741079776603,1.0
proteindesign121hz512p9,1,7200.0,7200.0,440,432,50429.47543652408,50481.28757501695,7.94,7.94,1.0,1.0,1.0,1.0,1.0185185185185186,1.0,0.9989736367477579,1.0
proteindesign121hz512p9,2,7200.0,7200.0,593,602,50524.4504039375,50384.90376782075,26.02,26.01,1.000384467512495,1.0,1.0,1.0,0.9850498338870431,1.0,1.002769612040142,1.0
proteindesign122trx11p8,0,7200.0,7200.0,3,3,44010.74809273039,44059.900413852316,1.95,1.95,1.0,1.0,1.0,1.0,1.0,1.0,0.9988844205125241,1.0
proteindesign122trx11p8,1,7200.0,7200.0,8,8,43249.37951803092,42983.976500858626,1.91,1.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0061744640393377,1.0
proteindesign122trx11p8,2,7200.0,7200.0,17,17,43794.1056153406,43407.76863766457,1.93,1.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0089001805391307,1.0
qap10,0,87.99,87.95,3,3,1380.7010708823534,1385.504335294118,0.0,0.0,0.0,0.0,1.0004548038658327,1.0,1.0,1.0,0.9965332014563889,1.0
qap10,1,111.82,112.11,5,5,1311.2573908823529,1316.558165294118,0.0,0.0,0.0,0.0,0.9974132548389973,1.0,1.0,1.0,0.9959737635970067,1.0
qap10,2,197.87,198.19,15,15,1336.1684844117656,1336.5802717647068,0.0,0.0,0.0,0.0,0.998385387759221,1.0,1.0,1.0,0.999691909747854,1.0
radiationm18-12-05,0,7200.0,7200.0,479812,478942,160.3077251508596,155.30871285437777,12.99,12.99,1.0,1.0,1.0,1.0,1.0018165038772961,1.0,1.0321875843576724,1.0
radiationm18-12-05,1,7200.0,7200.0,750150,756043,158.83803939431291,153.77396106116947,0.05,0.05,1.0,1.0,1.0,1.0,0.9922054697947075,1.0,1.0329319625910462,1.0
radiationm18-12-05,2,7200.0,7200.0,551080,551002,120.6664778549355,125.66598713422499,1.89,1.89,1.0,1.0,1.0,1.0,1.0001415602847177,1.0,0.9602158914014699,1.0
