ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-nnzcancel,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-nnzcancel,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-nnzcancel,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-nnzcancel,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-nnzcancel,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-nnzcancel,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-nnzcancel,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-nnzcancel
graphdraw-domain,1,1122.85,1145.4,1941578,1975394,17974.215538961696,18262.276678858074,0.0,0.0,0.0,0.0,0.9803125545660903,1.0,0.9828813897379459,1.0,0.9842264387424454,1.0
graphdraw-domain,2,1664.67,1601.52,2907888,3104489,23908.33903586305,23292.866601645837,0.0,0.0,0.0,0.0,1.0394312902742395,1.0,0.9366720255732908,1.0,1.0264232155167077,1.0
h80x6320d,0,69.54,75.72,4,5,184.3321510069643,185.60508954248596,0.0,0.0,0.0,0.0,0.9183835182250397,1.0,0.8,1.0,0.9931416830289544,1.0
h80x6320d,1,86.17,85.29,10,6,215.91991323207472,215.33517909222653,0.0,0.0,0.0,0.0,1.0103177394770781,1.0,1.6666666666666667,1.0,1.0027154603456492,1.0
icir97_tension,0,7200.0,6501.51,3185773,2533775,1037.4060235294119,991.3037711372557,0.07,0.0,inf,0.0,1.1074350420133168,1.0,1.2573227693856006,1.0,1.0465066851700424,1.0
mc11,0,149.4,167.73,6484,8168,235.9292069467016,254.49278723586255,0.0,0.0,0.0,0.0,0.8907172241101772,1.0,0.7938295788442703,1.0,0.9270565563339274,1.0
mc11,1,80.39,93.83,1411,2482,170.2462143895971,182.8840251518521,0.0,0.0,0.0,0.0,0.8567622295641053,1.0,0.5684931506849316,1.0,0.9308971313827898,1.0
mc11,2,106.11,94.12,3386,2184,194.48838138420732,184.82126272563937,0.0,0.0,0.0,0.0,1.1273905652358691,1.0,1.5503663003663004,1.0,1.0523052300152198,1.0
mushroom-best,0,579.5,616.01,27393,30449,20569.405130947434,20718.77607956822,0.0,0.0,0.0,0.0,0.9407314816317917,1.0,0.8996354560084076,1.0,0.9927905515245137,1.0
n5-3,0,26.4,28.03,926,1124,232.06858173966697,232.59733744602102,0.0,0.0,0.0,0.0,0.9418480199785942,1.0,0.8238434163701067,1.0,0.9977267336240392,1.0
n5-3,1,27.79,29.0,971,959,237.332336458976,255.03577112893274,0.0,0.0,0.0,0.0,0.9582758620689655,1.0,1.0125130344108446,1.0,0.9305845035322248,1.0
n5-3,2,27.09,29.06,1087,1213,229.2131612584825,247.4306308451574,0.0,0.0,0.0,0.0,0.9322092222986924,1.0,0.8961253091508656,1.0,0.9263734262631557,1.0
neos-3216931-puriri,1,7200.0,7159.5,9705,9731,121633.19340521592,120938.0139477005,5.5,0.0,inf,0.0,1.005656819610308,1.0,0.9973281266056931,1.0,1.00574822948404,1.0
neos-3402294-bobin,0,4386.37,3065.94,40294,16574,433836.6198661659,306593.9999999969,0.0,0.0,0.0,0.0,1.4306770517361722,1.0,2.431157234222276,1.0,1.4150199281987588,1.0
neos-3402294-bobin,1,618.95,1633.59,3428,11810,61894.99999999942,163358.99999999793,0.0,0.0,0.0,0.0,0.3788894398227218,1.0,0.2902624894157494,1.0,0.37888943982272294,1.0
neos-3402294-bobin,2,1620.92,2712.34,9242,22655,162091.99999999843,271233.9999999966,0.0,0.0,0.0,0.0,0.5976094442437158,1.0,0.40794526594570735,1.0,0.5976094442437174,1.0
