ProblemName,Seed,T_combined,T_combined-disable-all,N_combined,N_combined-disable-all,DI_combined,DI_combined-disable-all,Gap_combined,Gap_combined-disable-all,GapQ_combined,GapQ_combined-disable-all,TQ_combined,TQ_combined-disable-all,NQ_combined,NQ_combined-disable-all,DIQ_combined,DIQ_combined-disable-all
comp07-2idx,1,7200.0,7200.0,743,2398,7207.565722583334,7163.8814956666665,2800.0,766.67,3.652158034095504,1.0,1.0,1.0,0.30984153461217684,1.0,1.006097843319029,1.0
comp07-2idx,2,7200.0,7200.0,1449,2267,5014.6098600000005,5002.688564166666,1716.67,1033.33,1.6612989074158306,1.0,1.0,1.0,0.639170710189678,1.0,1.0023829778089175,1.0
comp21-2idx,0,7200.0,7200.0,10931,11477,290442.8176014865,290275.1720222973,247.43,242.16,1.021762471093492,1.0,1.0,1.0,0.9524265923150649,1.0,1.00057754019409,1.0
comp21-2idx,1,7200.0,7200.0,9835,10656,304059.6857243244,301373.9176467568,195.5,180.73,1.0817241188513251,1.0,1.0,1.0,0.9229542042042042,1.0,1.0089117469041087,1.0
comp21-2idx,2,7200.0,7200.0,11711,12487,308228.4431078378,309209.62039864867,248.72,198.0,1.2561616161616163,1.0,1.0,1.0,0.9378553695843678,1.0,0.9968268215925951,1.0
cost266-UUE,0,4923.15,4662.92,375684,339765,18442.076416295735,17209.74991455145,0.0,0.0,0.0,0.0,1.0558083775831453,1.0,1.1057171868791664,1.0,1.0716062992119548,1.0
cost266-UUE,1,3728.83,4775.3,294630,402428,13227.091766782543,17045.763738796613,0.0,0.0,0.0,0.0,0.7808577471572467,1.0,0.7321309650421939,1.0,0.7759753079691777,1.0
cost266-UUE,2,4067.72,7200.0,306702,23793,15450.64854860508,45323.793224234294,0.0,6.5,0.0,1.0,0.5649611111111111,1.0,12.890429958391124,1.0,0.3408948688862991,1.0
cryptanalysiskb128n5obj14,0,7200.0,7200.0,110,110,720000.0,720000.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cryptanalysiskb128n5obj14,1,7200.0,7200.0,59,59,720000.0,720000.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
