ProblemName,Seed,T_combined,T_combined-disable-all,N_combined,N_combined-disable-all,DI_combined,DI_combined-disable-all,Gap_combined,Gap_combined-disable-all,GapQ_combined,GapQ_combined-disable-all,TQ_combined,TQ_combined-disable-all,NQ_combined,NQ_combined-disable-all,DIQ_combined,DIQ_combined-disable-all
eil33-2,0,81.2,76.84,343,561,933.6795582576123,856.0063340448103,0.0,0.0,0.0,0.0,1.0567412805830296,1.0,0.6114081996434938,1.0,1.0907390764806373,1.0
eil33-2,1,101.92,76.74,395,561,1109.1921272024756,854.9439718924109,0.0,0.0,0.0,0.0,1.3281209278081836,1.0,0.7040998217468806,1.0,1.2973857511940678,1.0
eil33-2,2,105.72,63.4,541,613,962.4049616213214,688.5011881847845,0.0,0.0,0.0,0.0,1.6675078864353312,1.0,0.8825448613376835,1.0,1.3978261448737324,1.0
fast0507,0,322.23,310.23,1284,1377,580.8892862068959,561.5258114942515,0.0,0.0,0.0,0.0,1.0386809786287594,1.0,0.9324618736383442,1.0,1.0344836770034083,1.0
fast0507,1,280.17,181.2,1223,789,550.1830798850568,470.2836293103443,0.0,0.0,0.0,0.0,1.5461920529801327,1.0,1.550063371356147,1.0,1.1698963042619248,1.0
fast0507,2,365.44,256.31,1711,1054,604.7471241379305,522.6069459770106,0.0,0.0,0.0,0.0,1.425773477429675,1.0,1.6233396584440227,1.0,1.1571739120446618,1.0
fastxgemm-n2r6s0t2,0,4702.82,2065.42,1118937,467244,326247.55928434775,134789.18179956515,0.0,0.0,0.0,0.0,2.2769315683977105,1.0,2.3947594832678427,1.0,2.4204283676822516,1.0
fastxgemm-n2r6s0t2,1,4017.11,2174.2,1012967,490032,236190.0877195652,160987.18072913046,0.0,0.0,0.0,0.0,1.847626713273848,1.0,2.0671445946387177,1.0,1.4671359958589973,1.0
fastxgemm-n2r6s0t2,2,3129.08,5156.82,769500,1195088,211406.1993217391,378063.4857730435,0.0,0.0,0.0,0.0,0.6067848014861873,1.0,0.6438856385471196,1.0,0.5591817440117691,1.0
fiball,0,465.55,538.75,4111,5059,249.44762318840577,239.02173913043475,0.0,0.0,0.0,0.0,0.8641299303944315,1.0,0.8126111879818146,1.0,1.0436189783234804,1.0
fiball,1,447.14,423.66,3521,3216,229.8099420289855,234.20289855072463,0.0,0.0,0.0,0.0,1.0554218005004012,1.0,1.0948383084577114,1.0,0.9812429455445544,1.0
fiball,2,499.03,491.38,5672,4261,224.38405797101447,224.9573768115942,0.0,0.0,0.0,0.0,1.0155683992022466,1.0,1.331142924196198,1.0,0.99745143347284,1.0
gen-ip002,0,1315.68,1390.94,5856334,6075461,508.2774467047354,529.7981956524717,0.0,0.0,0.0,0.0,0.9458927056522927,1.0,0.9639324489121073,1.0,0.9593793464675121,1.0
gen-ip002,1,1295.56,1292.8,5478569,5725874,494.6164580802605,503.316485293767,0.0,0.0,0.0,0.0,1.002134900990099,1.0,0.9568092137549656,1.0,0.982714599128561,1.0
gen-ip002,2,1271.92,1369.87,5583912,5885796,491.4221079150391,532.8605022574507,0.0,0.0,0.0,0.0,0.9284968646659904,1.0,0.9487097412142724,1.0,0.9222340665767892,1.0
gen-ip054,0,3047.64,3306.48,15245360,16699087,1519.5676472901296,1602.784632420813,0.0,0.0,0.0,0.0,0.9217173550119765,1.0,0.9129457197270725,1.0,0.9480797460573388,1.0
gen-ip054,1,2530.93,2433.72,12476019,12249785,1305.3634888918657,1260.4655201074142,0.0,0.0,0.0,0.0,1.039942967966734,1.0,1.0184684057720197,1.0,1.0356201483247438,1.0
gen-ip054,2,3381.24,4131.05,16438070,20374915,1711.353184130085,1987.9471705838541,0.0,0.0,0.0,0.0,0.8184940874596046,1.0,0.8067798074249635,1.0,0.8608645186619651,1.0
glass-sc,0,2655.26,2675.04,241329,240771,38823.640581304346,39439.19416347826,0.0,0.0,0.0,0.0,0.9926057180453377,1.0,1.0023175548550283,1.0,0.9843923387576733,1.0
glass4,0,4008.75,7200.0,2705421,6370711,115238.12619050834,200307.0680170358,0.0,39.24,0.0,1.0,0.5567708333333333,1.0,0.42466547297468055,1.0,0.5753073385343922,1.0
