ProblemName,Seed,T_combined,T_combined-no-filtering,N_combined,N_combined-no-filtering,DI_combined,DI_combined-no-filtering,Gap_combined,Gap_combined-no-filtering,GapQ_combined,GapQ_combined-no-filtering,TQ_combined,TQ_combined-no-filtering,NQ_combined,NQ_combined-no-filtering,DIQ_combined,DIQ_combined-no-filtering
drayage-25-23,2,6941.84,7200.0,552534,645482,1277.0347172139345,1018.8193288595581,0.0,0.07,0.0,1.0,0.9641444444444445,1.0,0.856002181315668,1.0,1.2534457101863354,1.0
eil33-2,0,81.2,96.65,343,501,933.6795582576123,1087.9387719664587,0.0,0.0,0.0,0.0,0.8401448525607863,1.0,0.6846307385229541,1.0,0.8582096550984927,1.0
eil33-2,1,101.92,93.48,395,467,1109.1921272024756,1102.2253126899532,0.0,0.0,0.0,0.0,1.0902866923406076,1.0,0.8458244111349036,1.0,1.0063206809282215,1.0
eil33-2,2,105.72,90.81,541,599,962.4049616213214,948.7784174154598,0.0,0.0,0.0,0.0,1.1641889659729103,1.0,0.9031719532554258,1.0,1.0143621987555127,1.0
fast0507,0,322.23,310.09,1284,1346,580.8892862068959,557.6430339080459,0.0,0.0,0.0,0.0,1.0391499242155504,1.0,0.9539375928677564,1.0,1.0416866182940308,1.0
fast0507,1,280.17,294.63,1223,1481,550.1830798850568,563.0374999999995,0.0,0.0,0.0,0.0,0.9509214947561349,1.0,0.825793382849426,1.0,0.9771695133717689,1.0
fast0507,2,365.44,264.35,1711,1019,604.7471241379305,524.667077586206,0.0,0.0,0.0,0.0,1.382409684130887,1.0,1.6790971540726203,1.0,1.1526302106092543,1.0
fastxgemm-n2r6s0t2,0,4702.82,4764.24,1118937,1133328,326247.55928434775,327677.2122747826,0.0,0.0,0.0,0.0,0.9871081221768845,1.0,0.9873019990682309,1.0,0.9956370081992886,1.0
fastxgemm-n2r6s0t2,1,4017.11,3160.65,1012967,753635,236190.0877195652,212299.0028521739,0.0,0.0,0.0,0.0,1.2709759068546027,1.0,1.3441082221499798,1.0,1.112535078104097,1.0
fastxgemm-n2r6s0t2,2,3129.08,4161.96,769500,1036974,211406.1993217391,256895.75374130433,0.0,0.0,0.0,0.0,0.7518284654345548,1.0,0.742062963970167,1.0,0.8229260166543139,1.0
gen-ip002,0,1315.68,1656.56,5856334,6963244,508.2774467047354,633.1511459832619,0.0,0.0,0.0,0.0,0.7942241753996234,1.0,0.8410352990646314,1.0,0.8027742663489901,1.0
glass-sc,0,2655.26,2687.32,241329,240771,38823.640581304346,39625.754386086955,0.0,0.0,0.0,0.0,0.9880698986350714,1.0,1.0023175548550283,1.0,0.9797577656953267,1.0
