ProblemName,Seed,T_combined,T_combined-no-filtering,N_combined,N_combined-no-filtering,DI_combined,DI_combined-no-filtering,Gap_combined,Gap_combined-no-filtering,GapQ_combined,GapQ_combined-no-filtering,TQ_combined,TQ_combined-no-filtering,NQ_combined,NQ_combined-no-filtering,DIQ_combined,DIQ_combined-no-filtering
blp-ar98,2,7200.0,7200.0,229423,207939,6415.845105888979,5839.097169719711,0.32,0.23,1.391304347826087,1.0,1.0,1.0,1.1033187617522446,1.0,1.0987734780575595,1.0
blp-ic98,0,7200.0,7200.0,304769,281795,7237.063331242014,7086.492442285688,1.38,1.51,0.9139072847682118,1.0,1.0,1.0,1.0815273514434252,1.0,1.0212475904239813,1.0
blp-ic98,1,7200.0,7200.0,254061,288443,7539.775927701681,8103.328501273945,2.41,2.26,1.0663716814159294,1.0,1.0,1.0,0.8808014061703698,1.0,0.9304541863897451,1.0
blp-ic98,2,7200.0,7200.0,278188,268446,7134.770132576666,7730.947241393099,2.11,2.06,1.0242718446601942,1.0,1.0,1.0,1.0362903526221288,1.0,0.9228843387231546,1.0
bnatt400,0,970.91,966.88,6821,6821,97091.0,96688.0,0.0,0.0,0.0,0.0,1.0041680456726791,1.0,1.0,1.0,1.0041680456726791,1.0
bnatt400,1,1105.02,1102.2,6346,6346,110502.0,110220.0,0.0,0.0,0.0,0.0,1.0025585193249864,1.0,1.0,1.0,1.0025585193249864,1.0
bnatt400,2,745.15,743.13,5500,5500,74515.0,74313.0,0.0,0.0,0.0,0.0,1.0027182323415822,1.0,1.0,1.0,1.0027182323415822,1.0
bnatt500,0,4368.17,4360.93,29526,29526,436817.0,436093.0,0.0,0.0,0.0,0.0,1.0016601963342682,1.0,1.0,1.0,1.0016601963342682,1.0
bnatt500,1,6333.06,6313.03,38962,38962,633306.0,631303.0,0.0,0.0,0.0,0.0,1.0031728029171414,1.0,1.0,1.0,1.0031728029171412,1.0
bnatt500,2,4996.9,4990.78,29029,29029,499689.99999999994,499078.0,0.0,0.0,0.0,0.0,1.0012262612257001,1.0,1.0,1.0,1.0012262612257001,1.0
bppc4-08,0,7200.0,7200.0,797503,700039,13614.33962264151,13614.33962264151,1.92,1.92,1.0,1.0,1.0,1.0,1.1392265288076806,1.0,1.0,1.0
bppc4-08,1,7200.0,7200.0,938927,790062,13609.433962264151,13609.433962264151,1.92,1.92,1.0,1.0,1.0,1.0,1.1884219213175675,1.0,1.0,1.0
bppc4-08,2,7200.0,7200.0,793397,713373,13609.452830188678,13609.452830188678,1.92,1.92,1.0,1.0,1.0,1.0,1.1121769396935404,1.0,1.0,1.0
brazil3,0,3360.46,7200.0,2570,3691,19964.97339208332,20826.310775416656,0.0,58.33,0.0,1.0,0.46673055555555554,1.0,0.6962882687618531,1.0,0.9586418644847048,1.0
brazil3,1,4252.19,7200.0,2347,4714,100252.26529645834,152533.95173395833,0.0,66.63,0.0,1.0,0.5905819444444443,1.0,0.4978786593126856,1.0,0.6572455781602843,1.0
brazil3,2,3785.08,2726.35,3302,1732,4574.0625,4020.052083333333,0.0,0.0,0.0,0.0,1.3883323857905259,1.0,1.9064665127020786,1.0,1.1378117509878862,1.0
buildingenergy,0,7200.0,7200.0,96,96,18993.32567985296,18943.604762302522,0.13,0.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0026246808975543,1.0
buildingenergy,1,7200.0,7200.0,85,85,18244.78742705254,18495.640768550547,0.15,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.986437164051945,1.0
buildingenergy,2,7200.0,7200.0,12,12,19044.35943501013,18943.56683151411,0.13,0.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0053206771666856,1.0
cbs-cta,0,40.27,40.06,1,1,15.0,15.0,0.0,0.0,0.0,0.0,1.005242136794808,1.0,1.0,1.0,1.0,1.0
cbs-cta,1,314.1,314.43,31,31,15.0,15.0,0.0,0.0,0.0,0.0,0.9989504818242535,1.0,1.0,1.0,1.0,1.0
cbs-cta,2,35.77,35.85,1,1,15.0,15.0,0.0,0.0,0.0,0.0,0.997768479776848,1.0,1.0,1.0,1.0,1.0
chromaticindex1024-7,0,7200.0,7200.0,964,968,187931.0,187916.5,33.33,33.33,1.0,1.0,1.0,1.0,0.9958677685950413,1.0,1.000077161930964,1.0
chromaticindex1024-7,1,7200.0,7200.0,1171,1190,190411.75,189375.75,33.33,33.33,1.0,1.0,1.0,1.0,0.9840336134453781,1.0,1.0054706053969422,1.0
chromaticindex1024-7,2,6429.72,6450.57,757,757,170155.5,170751.75,0.0,0.0,0.0,0.0,0.996767727503151,1.0,1.0,1.0,0.9965080884968968,1.0
