ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-update,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-update,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-update,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-update,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-update,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-update,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-update,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-update
supportcase42,2,7200.0,7200.0,467610,345585,780.957393939146,781.8452161911245,0.35,0.24,1.4583333333333333,1.0,1.0,1.0,1.3530969226094882,1.0,0.9988644526645521,1.0
supportcase6,0,7200.0,7200.0,18980,19336,75749.4797570772,75693.31936052689,9.13,9.13,1.0,1.0,1.0,1.0,0.9815887463798096,1.0,1.0007419465419771,1.0
supportcase6,1,7200.0,7200.0,17726,13800,74595.58569245611,78905.95308760402,8.41,8.92,0.9428251121076233,1.0,1.0,1.0,1.2844927536231885,1.0,0.9453733561729822,1.0
supportcase6,2,7200.0,7200.0,17709,17532,75744.24431814162,75789.08756927207,9.72,9.74,0.997946611909651,1.0,1.0,1.0,1.0100958247775496,1.0,0.9994083151998701,1.0
supportcase7,0,179.98,180.95,59,59,2182.250719908478,2197.63434986678,0.0,0.0,0.0,0.0,0.9946394031500414,1.0,1.0,1.0,0.9929999137667125,1.0
supportcase7,1,193.62,193.47,45,47,2398.1424919217116,2390.9079463053163,0.0,0.0,0.0,0.0,1.000775314002171,1.0,0.9574468085106383,1.0,1.0030258570295754,1.0
supportcase7,2,210.25,210.5,32,32,2497.214899734461,2499.6787262640473,0.0,0.0,0.0,0.0,0.998812351543943,1.0,1.0,1.0,0.9990143427218471,1.0
swath1,0,21.09,21.15,281,285,261.84366437022675,263.9471311413586,0.0,0.0,0.0,0.0,0.997163120567376,1.0,0.9859649122807017,1.0,0.9920307269033913,1.0
swath1,1,17.34,17.95,245,257,227.21935845890266,233.02022696412502,0.0,0.0,0.0,0.0,0.966016713091922,1.0,0.953307392996109,1.0,0.9751057297437298,1.0
swath1,2,19.82,18.29,292,260,247.56353363772197,237.85450557093515,0.0,0.0,0.0,0.0,1.0836522689994532,1.0,1.123076923076923,1.0,1.0408191892076282,1.0
swath3,0,226.2,243.56,28316,31878,1821.0849870830593,1890.4354986819756,0.0,0.0,0.0,0.0,0.9287239283954671,1.0,0.8882614969571492,1.0,0.9633150606581035,1.0
