ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-update,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-update,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-update,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-update,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-update,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-update,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-update,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-update
csched007,2,3393.08,2678.68,247755,234286,21171.48683076923,18818.640164387467,0.0,0.0,0.0,0.0,1.2666985231531949,1.0,1.0574895640371171,1.0,1.125027453940817,1.0
csched008,1,7200.0,7127.81,694455,931841,6763.466872832382,5319.3810057803385,2.33,0.0,inf,0.0,1.010127935508943,1.0,0.745250530938218,1.0,1.2714762987428083,1.0
csched008,2,5772.95,2381.21,546382,228445,3644.5367774566475,1768.0996734104058,0.0,0.0,0.0,0.0,2.4243766824429596,1.0,2.3917441835014994,1.0,2.0612733729127775,1.0
dano3_5,1,285.81,283.74,159,166,1780.2608740715739,1772.6615784236483,0.0,0.0,0.0,0.0,1.0072954112920278,1.0,0.9578313253012049,1.0,1.0042869410272226,1.0
eil33-2,0,81.2,78.78,343,561,933.6795582576123,876.5174919009926,0.0,0.0,0.0,0.0,1.0307184564610308,1.0,0.6114081996434938,1.0,1.0652149750401974,1.0
eil33-2,1,101.92,78.8,395,561,1109.1921272024756,876.8670543901396,0.0,0.0,0.0,0.0,1.2934010152284265,1.0,0.7040998217468806,1.0,1.264949026935352,1.0
eil33-2,2,105.72,64.23,541,613,962.4049616213214,696.9231586983619,0.0,0.0,0.0,0.0,1.6459598318542736,1.0,0.8825448613376835,1.0,1.380934109606571,1.0
fast0507,0,322.23,305.46,1284,1377,580.8892862068959,552.4055913793089,0.0,0.0,0.0,0.0,1.0549008053427618,1.0,0.9324618736383442,1.0,1.0515630096293298,1.0
fast0507,1,280.17,180.55,1223,789,550.1830798850568,474.1533074712638,0.0,0.0,0.0,0.0,1.5517585156466354,1.0,1.550063371356147,1.0,1.1603485016676822,1.0
fast0507,2,365.44,249.56,1711,1054,604.7471241379305,511.8702706896544,0.0,0.0,0.0,0.0,1.4643372335310145,1.0,1.6233396584440227,1.0,1.1814460787557384,1.0
fastxgemm-n2r6s0t2,0,4702.82,4634.71,1118937,1091678,326247.55928434775,315962.50350434775,0.0,0.0,0.0,0.0,1.0146956335995132,1.0,1.0249698171072423,1.0,1.0325515074286606,1.0
fastxgemm-n2r6s0t2,1,4017.11,1847.11,1012967,404965,236190.0877195652,140682.31715869563,0.0,0.0,0.0,0.0,2.1748082139125446,1.0,2.501369254133073,1.0,1.6788896606894295,1.0
fastxgemm-n2r6s0t2,2,3129.08,5106.21,769500,1218045,211406.1993217391,382576.3505978261,0.0,0.0,0.0,0.0,0.6127989252302588,1.0,0.6317500584953758,1.0,0.5525856446468502,1.0
fiball,0,465.55,534.2,4111,5059,249.44762318840577,234.77621739130436,0.0,0.0,0.0,0.0,0.8714900786222388,1.0,0.8126111879818146,1.0,1.0624910221321455,1.0
fiball,1,447.14,423.45,3521,3216,229.8099420289855,229.20289855072463,0.0,0.0,0.0,0.0,1.0559452119494628,1.0,1.0948383084577114,1.0,1.0026484982611445,1.0
fiball,2,499.03,579.49,5672,5313,224.38405797101447,229.20289855072463,0.0,0.0,0.0,0.0,0.8611537731453519,1.0,1.067570111048372,1.0,0.9789756560227632,1.0
gen-ip002,0,1315.68,1399.45,5856334,6075461,508.2774467047354,533.6167873002747,0.0,0.0,0.0,0.0,0.9401407695880525,1.0,0.9639324489121073,1.0,0.9525139740754062,1.0
gen-ip002,1,1295.56,1305.34,5478569,5725874,494.6164580802605,508.82881405507317,0.0,0.0,0.0,0.0,0.9925076991435182,1.0,0.9568092137549656,1.0,0.9720684922271827,1.0
gen-ip002,2,1271.92,1375.26,5583912,5885796,491.4221079150391,536.3387468493836,0.0,0.0,0.0,0.0,0.9248578450620247,1.0,0.9487097412142724,1.0,0.9162532276509977,1.0
gen-ip054,0,3047.64,3344.49,15245360,16710950,1519.5676472901296,1622.2047050246308,0.0,0.0,0.0,0.0,0.9112420727823973,1.0,0.9122976252098175,1.0,0.9367298976407895,1.0
gen-ip054,1,2530.93,2452.64,12476019,12245498,1305.3634888918657,1272.2842317484688,0.0,0.0,0.0,0.0,1.0319207058516537,1.0,1.0188249591809169,1.0,1.0259998955563074,1.0
gen-ip054,2,3381.24,4133.81,16438070,20348199,1711.353184130085,1991.5015144305037,0.0,0.0,0.0,0.0,0.8179476076549236,1.0,0.8078390623170139,1.0,0.8593280857330753,1.0
glass4,0,4008.75,3197.72,2705421,2512983,115238.12619050834,86303.04533819061,0.0,0.0,0.0,0.0,1.253627584654066,1.0,1.0765775176354158,1.0,1.3352729992195704,1.0
glass4,1,2392.84,2281.42,1888717,2101434,65192.70388069259,61210.40094387342,0.0,0.0,0.0,0.0,1.048838004400768,1.0,0.898775312477099,1.0,1.0650592526010527,1.0
glass4,2,2212.84,2001.07,1599046,1508903,59809.337062710845,56583.55294411075,0.0,0.0,0.0,0.0,1.1058283818157286,1.0,1.0597407520562951,1.0,1.0570092182402597,1.0
graphdraw-domain,0,1010.47,844.42,1823083,1611437,16022.469596159708,13859.232456060145,0.0,0.0,0.0,0.0,1.196643850216717,1.0,1.1313399158639152,1.0,1.1560863595410478,1.0
graphdraw-domain,1,1122.85,1195.65,1941578,2105392,17974.215538961696,18580.4790942802,0.0,0.0,0.0,0.0,0.9391126165683936,1.0,0.9221931117815589,1.0,0.9673709406392468,1.0
graphdraw-domain,2,1664.67,1739.95,2907888,2981841,23908.33903586305,25342.267344813572,0.0,0.0,0.0,0.0,0.9567343889192218,1.0,0.9751988788134579,1.0,0.943417521035505,1.0
icir97_tension,0,7200.0,6649.86,3185773,2386444,1037.4060235294119,918.3294340392129,0.07,0.0,inf,0.0,1.0827295612238454,1.0,1.3349456345927246,1.0,1.1296665282375284,1.0
istanbul-no-cutoff,0,154.02,151.14,347,341,4154.504063298898,4115.126916583409,0.0,0.0,0.0,0.0,1.0190551806272332,1.0,1.0175953079178885,1.0,1.0095688778289689,1.0
istanbul-no-cutoff,1,166.34,165.39,245,269,4386.7845191557135,4364.371295633795,0.0,0.0,0.0,0.0,1.0057439990325898,1.0,0.9107806691449815,1.0,1.0051354987932262,1.0
istanbul-no-cutoff,2,285.14,291.78,475,481,6591.160704164574,6583.941292552696,0.0,0.0,0.0,0.0,0.9772431283843992,1.0,0.9875259875259875,1.0,1.001096518223825,1.0
map10,0,1006.71,995.07,1637,1494,11390.739125871321,11421.246146124598,0.0,0.0,0.0,0.0,1.0116976695106876,1.0,1.0957161981258368,1.0,0.997328923668839,1.0
map10,1,633.84,675.54,724,768,7841.863703219099,8265.476107618088,0.0,0.0,0.0,0.0,0.9382716049382717,1.0,0.9427083333333334,1.0,0.9487491828802753,1.0
map10,2,792.96,830.5,965,955,9060.827479977572,9219.153532616736,0.0,0.0,0.0,0.0,0.954798314268513,1.0,1.0104712041884816,1.0,0.9828264002677667,1.0
map16715-04,0,2158.43,2177.21,1933,1961,105052.04735655236,105936.77963497966,0.0,0.0,0.0,0.0,0.9913742817642762,1.0,0.985721570627231,1.0,0.9916484880749087,1.0
map16715-04,1,2335.51,2434.77,2173,2281,114012.38505556673,115731.94320829984,0.0,0.0,0.0,0.0,0.9592322888814961,1.0,0.9526523454625164,1.0,0.9851418881851991,1.0
map16715-04,2,2160.04,2080.59,1990,1982,105132.8366379955,101563.036635761,0.0,0.0,0.0,0.0,1.038186283698374,1.0,1.0040363269424823,1.0,1.035148614303814,1.0
markshare_4_0,0,72.47,342.25,612396,2928397,7247.0,34224.999999991735,0.0,0.0,0.0,0.0,0.21174579985390796,1.0,0.20912328485516138,1.0,0.2117457998539591,1.0
markshare_4_0,1,70.48,307.25,589762,2661583,7048.0,30724.999999992575,0.0,0.0,0.0,0.0,0.22938974776240847,1.0,0.22158317061688476,1.0,0.2293897477624639,1.0
markshare_4_0,2,85.88,260.24,719508,2235991,8588.0,26023.999999993805,0.0,0.0,0.0,0.0,0.33000307408545954,1.0,0.32178483723771695,1.0,0.33000307408553814,1.0
mas74,0,1680.79,1696.01,4932223,5115429,6714.657077007676,6687.074471167623,0.0,0.0,0.0,0.0,0.991025996308984,1.0,0.9641856039835565,1.0,1.004124764268587,1.0
mas74,1,2282.09,2206.78,7992914,8092045,7947.64328439701,8002.240159487965,0.0,0.0,0.0,0.0,1.0341266460634952,1.0,0.9877495738098342,1.0,0.9931773011053384,1.0
mas74,2,1563.59,1302.75,4674399,3949864,6164.667939272116,5065.203941473089,0.0,0.0,0.0,0.0,1.2002226060257148,1.0,1.1834328979428153,1.0,1.2170621381691644,1.0
mc11,0,149.4,142.22,6484,5552,235.9292069467016,235.37668320643306,0.0,0.0,0.0,0.0,1.050485163830685,1.0,1.1678674351585014,1.0,1.0023474021842,1.0
mc11,1,80.39,102.84,1411,3115,170.2462143895971,191.78075284455474,0.0,0.0,0.0,0.0,0.7816997277323998,1.0,0.45296950240770467,1.0,0.8877127233283302,1.0
